uid,age,group,bw
80,8.000,Control,48.200
80,9.000,Control,52.700
80,10.000,Control,55.000
80,11.000,Control,52.200
82,-0.286,Control,47.700
82,0.000,Control,45.100
82,1.000,Control,39.700
82,2.000,Control,39.900
82,3.000,Control,39.700
82,3.429,Control,39.600
82,4.000,Control,40.700
82,5.000,Control,39.700
82,6.000,Control,40.400
82,7.000,Control,41.400
82,8.000,Control,41.400
82,9.000,Control,41.900
82,10.000,Control,42.100
82,11.000,Control,43.900
107,-0.286,Control,33.000
107,0.000,Control,31.600
107,1.000,Control,31.900
107,2.000,Control,30.600
107,3.000,Control,30.800
107,3.429,Control,31.300
107,4.000,Control,32.400
107,5.000,Control,32.100
107,6.000,Control,31.200
107,7.000,Control,32.300
107,8.000,Control,32.300
107,9.000,Control,32.100
107,10.000,Control,32.000
107,11.000,Control,33.000
108,-0.286,Control,36.100
108,0.000,Control,35.000
108,1.000,Control,33.500
108,2.000,Control,32.500
108,3.000,Control,32.300
108,3.429,Control,34.800
108,4.000,Control,35.400
108,5.000,Control,35.200
108,6.000,Control,34.700
108,7.000,Control,37.500
108,8.000,Control,37.500
108,9.000,Control,37.500
108,10.000,Control,37.800
108,11.000,Control,38.200
